kelime,anlam
Yalık,Eşarp
Yanaz,Aksi
Yanaz,"Alan dışı, taç."
Yannık,"Deri yayık,tulum"
Yanza,Aksi
Yapık,Kirli saç
Yarpız,Naneyi andıran bir ot
Yartnak,Ağaç Kabuğu
Yasyalbırdak,Üzerine giyecek bir şeyi kalmamış.
Yasyapıldak,Bir başına kalmak.
Yavan,Yağsız
Yavsı,Sinek
Yazı,"Ova, düz alan."
Yazı,Tarla ova
Yazlak,Köyün içinde yazın serin olsun diye çıkılan kısmen yüksek yer.
Yeğni,Hafif
Yekinmek,Kalkmak
Yelyepelek,Telaşlı bir şekilde.
Yetmek,: Olgunlaşmak
Yılgın,Bıkkın
Yırak,Uzak
Yiyen,Yeğen
Yonga,Odun kesilirken oluşan kırıntı.
Yosa,Yoksa
Yörep,Akabe arazi
Yumuş buyurmak,"Birisinden bir şey yapmasını istemek, buyurmak"
Yumuş,İş
Yunak,Yıkama yeri
Yüklük,Yatak konulan yüksekçe raf
Yületmek,Keskinleştirmek
Yüzeyapışkan,Bir böcek
Yüzgaç,Ağaç kabuklarını yüzen işçiler
Zaar,Herhalde.
Zaati,Zaten
Zabit,Tutanak.
Zavara,Un ve bulgur kepeği hayvan yiyeceği.
Zehmeri,Kara kış soğuğu
Zehre,Kışlık tahıl
Zelbir,Ham kurşundan yapılan saçma
Zerzembil,İçinde tahıl vs. saklandığı karanlık yer
Zıbarmak,Ölmek.
Zıbın,"Gömlek, bebek giysisi"
Zırnık vermemek,Hiçbir şey vermemek
Zibil,Hayvan gübresi veya çöp yığını
Zikke,Totrağa çakılan demir kazık
Zillenmek,Filizlenmek.
Zincer,Böğürtlrni andıran bikenli bir bitki
Zobu,"Tüstüm , işe yaramaz.(Zobu gibi uzanmış yatıyor.)"
Zopur,İnce ince yağan hafif yağmur.
Zubban,Bir tür kuş
Zumzuk,Yumruk
Aba,Abla.
Abani,Baş örtüsü.
Abat olma,Zengin olma.
Aburcubur,Karışık
Abruka,"Çevirme,kontrol altına alma."
Abrul,Nisan
Acamı,Acemi
Accuk,Az olan.
Acap,Acaba.Acep.
Aclanmak,Acıkmak.
Adamakıllı,"Doğru,dürüst."
Adref,Etraf.Çevre.
Afkurma,Sinirlenme.
Afur,Ahır.
Aga,Arkadaş
Agıbet,Acaba .Gelecek.
Ağanamak,İnlemek.Anlamak.
Ağarlamak,Misafir etmek.
Ağartı,Yarı açık hava .
Ağır,Yavaş hareket eden.
Ağırmak,Yüksek sesle bağırma.
Ahacuk,İşte
Aha,Burada.İşte.
Ahmak,Aptal.Salak.
Akak,Ormandan su akmayan taşlı su yolu.
Akınmak,"Kayak,kaymak."
Akunduruk,"Çam sakızı,reçine."
Akunduz,Geniş yapraklı yabani bitki.
Akuru gitme,Yamaç yerde düz gitme. Paralel.
Alaf,Hayvan yiyeceği
Alamuk,Yarı güneşli hava.Bunaltıcı sıcaklık.
Alartı,Aydınlık.
Allancak,Hamak
Alaşağı,Horonda eğilme.
Alemeşkere,"Alani, açıkca yapma."
Aluşuk,Devamlı gelen.alışkan.Ucu yanan odun.
Amade,Hazır olan
Amel,İshal.
Andaval,"Salak,aptal"
Andır,Adı bilinmeyen.İşe yaramayan.
Andır kalsın,Uzak dursun .
Angaz,"Büyük,ağır ve hantal eşya."
Angut,"Aptal,avanak"
Annak,"Meydan,görünür."
Annaklama,Gözetleme.bakma.
Anlak,Açık alan.
Argış,Yük taşımada  verilen mola.
Arpacık,Gözde çıkan sivil.Ekilecek küçük soğan .
Arısokması,Arı ısırması.
Arkuru,Paralel.
Arkurulamak,Yan tarafa doğru gitmek.
Artuk,Yemekten arda kalan.
Aruk,Zayıf.
Aruklama,Zayıflama.
Aşak,Yünden ip yapma aracı
Aşar,Olgun turşu
Aşana,Evlere giriş kısmı
Aşıkatma,Yarışma.Rekabet.
Aşlama,"Meyve ağacına aşı,veya ekleme"
Aşki,Olayın nedeni belli olması.
Aşmak,Geçmek
Aştı,Geçti.
Atkı,"Omuza alınan örtü,şal."
Atlak,Dereden kolay geçme yer.
Atlama,Ayıklama.Fındık ocağını budama yapmak.
Avcuk,Ellin iç kısmı.Aya.
Avu,"Zehir,orman güllü."
Avuz,Doğum yapan ineğin ilk sütü
Ayam,Hava.Hava durumu.
Ayama,"Takma ad,lakap."
Ayalama,"Koruma,yetiştirme."
Ayetse,Yavaş yavaş.
Ayırtlama,Temizleme.
Aykuru,Ters
Aylak,Avare gezen.
Ayı kulağı,Zehirli bitki
Azgun,"Çıldın,deli."
Azık,Yolculukta bahçede yenecek yemek
Azma,Olduğundan fazla gözükme.Gelişme.
Azman,Melez.
"Bahçe.Fındık bahçesi. 
Bad",Koyun geceleme yeri.
Baddal,"Geniş,bol"
Bahalı,Fiyatlı
Bakraç,"Kuplu süt,su kabı."
Balçık,Çok sulu çamur.
Baldıran,Yabani bitki.
Bannık,Yabani mor çiçekli bitki.
Bar,Beyaz küf.
Baraballi,Tabanca çeşiti.
Bardabaş,Çok gürültü yapan kişi.
Bat,"Tahta avlu,çit."
Batıl,Geçersiz.
Batırma,Sokma.delme.
Batman,Bir sürü.Ağır.
Basuk,"Zayıf cılız çocuk.Kısa,cüce."
Basur,Mayasıl.Kaşıntı.
Başak,Toplamadan kalan fındık.Soğlama.
Bayak,Az önce.Demin.
Bece,Gece.
Bed,Kötü.Çirkin.
Beduru,Kuyu kazanı
Bel,Çatal ağızlı tarım aleti.
Bellemek,Toprak işlemek.
Belertmek,"Gözünü iyice açmak,Korkutmak."
Berata,Tabanca çeşiti.
Bere,Koyun sağım yeri.
Beri,Burası.
Besbelli,Herhalde.Belli ki.
Beşbıyık,Muşmula meyvesi.
Beter,"Çok,fena."
Beylik,Fabrikasyon.
Bezene,Bezelye
Bıldır,Geçen sene.
Bızdıklama,Hızla koşmak.tekme.
Bıllak,Parlak
Biçik,Yeni doğan buzağı.
Bibi,Büyük hala.
Bidutam,"Az,Biraz"
Bile,Beraber.
Bileki,Ekmek pişirilen  kap.
Bidorama,Azıcık.
Bisürü,Çok fazla.
Bişi,Önemli gizli söz.
Bitduma,Azıcık.
Bittik,"Çok az ,minnacık"
Boduç,Ağaç kap.
Bohça,Beze sarılarak taşınan eşya.
Bostan,Hıyar
Boydak,Yalnız başına.
Boyuna,"Sürekli,devamlı."
Bozaltı,Alaca karanlık.
Böce,Fasulye.
Böçük,Böçek.
Böğün,Bugün.
Böğür,Göğüs.
Börmek,Uzun sesli öksürmek.
Börülce,Yabani bitki
Bucaklık,Evlerdeki mutfak odası.
Buğuz,"Eziyet,zülum."
Buğuz etme,"Eziyet,zülum etme."
Bukma.,"Ters çevireme,sıkma."
Bulaşuk,İspiyoncu.
Bunamak,"Çok canı darlanmak,sıkılmak."
Buruk,Acı.
Buymak,Üşümek.
Bük,Düzlük arazi.
Bükük,Eğri olan.
Büngüldemek,Yerinde duramamak.Oynak.
Bürümcek,Beyaz başörtüsü.
Büsumuk,Bunaltıcı.Sıkıcı kapalı.
Büz,Beton boru.
Büzük,"Toplu,buruşuk,kırış"
"C-  
   
Cadaloz",Geçimsiz.Çirkef.
Cahal,"Bilgisiz,cahil."
Cahdetmek,Azimetmek.
Camedan,"Vitrin,cam arkası."
Cam Işığı,Gaz lambası.
Camadan,Keçi kılı sırt çantası
Camış,Manda.
Canketme,Yeni anlama.Aklı başına gelme.
Caplama,Az kalın kereste.cıta.
Cara,Akıntı.
Caranak,Sağnak yağmur.
Cavaloz,Sincap
Caydak,"Yalnız,tek başına."
Cazgır,Çok konuşan.
Cazı,Kurnaz.Hırcın.Fesat kadın.
Ceccal,Çok yaramaz çocuk.
Celecoş,Keş pişirilerek yapılan yemek.
Celep,"Koyun sürüsü,davalar."
Cember,Başörtü çeşidi.
Ceek Garga,Bağıran alakarga.
Cenderme,Jandarma.
Cenik,Yaylaya göre sahil.
Cepken,Yağmurluk
Cerahat,İltahap.İrin.
Cereme,"Zahmet,eziyet,sıkıntı."
Cerlemek,"Sinirlenme,bağırma."
Cıbban,Alkış.
Cıbıl,"Yırtık pırtık giyinen,yarı açık elbise."
Cıbıldak,Çıblak. Yoksul.
Cıdık,Daldan kuş kapanı.
Cıftır,Çok hızlı şekilde.
Cılga,"Küçük ark,ince su yol.Dar yol."
Cılk,Sulu bozulmuş yumurta.
Cımbış,Komiklik.Şaka.
Cındık,Küçük.
Cıngıl,Küçük su kapı.
Cırankettirmek,"Vurmak,ses çıkartmak."
Cırcır,İplik sarma aleti.Devamlı olan ses.
Cırıfta,"Küçük ekmek,kızartma."
Cırıtla,Hamur işi yağda pişen lokma.
Cırım cıngıl,"Çok fazla.-Yırtık,pırtık."
Cırmak,Kök.Ağaç kökü.
Cıscıbıl,Çırılçıplak.
Cırtlık,Küçük çalı kuşu.
Cızan,Oyun bozan.
Cızıltı,İnce sızan akan.İnce ses.
Cızmak,Çizmek.
Cibilliyet,"Soy,sülale.Secere."
Cicik,Meme.Göğüs.
Cidduk,Küçük sevimli çoçuk.
Ciğik,Küçük ses.
Ciğikleme,Gizlice gözetleme.
Cilim,Yapışkan çam  ağacı.
Cimbar,Harabe yer.
Cimcik,Cimdik.
Cinibiz.,Keskin zekalı.Kurnaz.
Cingan,Çingene
Civirtmak,İshal.Oyundan çıkan.
Cont,"Lastik çizme,potin."
Cöbre,Suyu alınmış ezik üzüm posası.
Cöbül,Süzülecek üzüm şırası.
Cufar,Zehir.
Cufarlanmak,"Sıcaktan bunalma,zehirlenme"
Cücük,Civciv.
Cümbürcemat,Kalabalık.
Cürüm,Çevre.Etraf.
"Ç-                                                                                         
Çakıldak",Olmamış ham meyve.
Çalan,Şelale.
Çaldırmak,Uyumak.
Çalık,"Bakımsız,zayıf."
Çalım,"Gösteriş,caka."
Çalımsatma,Gösteriş yapma.
Çalpalamak,Çalkalamak.
Çalpara,Kalaylı tencere.
Çangal,Uzun fasulye sırığı.
Çarpık,Felçli.
Çaplama,Sallamak.
Çapula,Ayakkapı.
Çaput,Kalın bez parçası.Eski elbise.
Çardak,Çatı kısmı.
Çatmak,Rastlama.Rast gelme.
Çavgun,Sağnak yağmur.
Çavun,İz.
Çaytak,Bacakları dışa eğri kimse.
Çebiç,"Keçi yavrusu,oğlak"
Çeç,Ayıklanmış tane fındık.
Çekek,Küçük gemi barınağı.
Çekerez,Bir sincap çeşitti.
Çekişme,Ağız kavgası.
Çelik,Oyunda kısa çubuk.
Çençük,"Kapı kilidi,mandalı."
Çendik,"İşaret,iz."
Çenti,Dastardan yapılan Süslü çanta.
Çentik,"Çizik,kertük.Yiv."
Çeltuk,İçi boş fındık çotanağı.
Çepin,Küçük kazma.
Çepni,Karadeniz bölgesine yerleşen Türkmen boyları.
Çettüğüm,Kördüğüm.
Çıban,Büyük derin sivilce.
Çıbarca,Eğrelti otu çeşiti.
Çıkıntı,Evlere sonradan ilave edeilen oda.Görülen uç.
Çıkrık,Yünden iplik yapma tezgahı.
Çılmık,İnce çubuk.
Çılpı,Doğrultu.
Çıngıl,"Sakık,sallanan"
Çıpır,Alaca çok renkli.
Çıpırdak,Çok parlak renkli.
Çıtır,İnce sık dallı dikenli.
Çıtlaböcü,Ateşböceği.
Çıtlak,Ateş parçası.Kıvılcım.
Çibre,"Yazı yazma ucu,dolmakalem ucu."
Çiğselti,İnce yağan yağmur.Çiğse.
Çil,Yeni çimlenmiş tohum.
"Çileklik           Çalı çileği.Yaprağından çorba yapılan çilek. 
Çillenme",Tohumların çimlenmesi yeşermesi
Çilli,Yüzü gözü benli.
Çimmek,YıkanmakYunmak.
Çit,Küçük sebze bahçesi.
Çitemek,Dikmek tutturmak.
Çitlak,"Küçük ateş parçası,kıvılcım."
Çivil,Küçük tane.
Çivit,Çekirdek.
Çizelti,Hafif yağan yağmur.
Çomak,Kısa çubuk.
Çort,"Dikenli,fundalıklı alan."
Çökelik,Yoğurttan yapılan kuru peynir.
Çömen,Ot yığını.Otluk.
Çömez,Acemi.
Çöllemek,Bahçeden meyve çalma.
Çölük,Küçük ağaç parçası.Kuru ince dal.
Çöör,Mısırın alt sap kısmı.
Çöten,Mısır kurutulan ambar. Darı ambarı.
Çörtük,Yabani küçük armut  ağacı.
Çükelik,Çökelek.Kurutulan ayran peyniri.
Çürük ayı,"Temmuz,ağustos aylarına denir."
"D- 
Da",Gösterme sıfatı.
Dadanık,Alışkın.
Dadanmak,Alışmak.Devamlı olamak.
Dadduk,Çok sevimli.
Dadlı,Tatlı.
Dağarcuk,Meşin deri çanta.
Dalaşma,Kavga etme.İt kavgası.
Damlalık,Çatıların alt kısmı.
Dandik,Eğri büyrü.
Danil,Geveze.Dangalak.
Darı,Mısır.
Darlanma,"Sıkılma,bunalma."
Dastar,Yün ipliğinden kilim.
Daşgun,"Sel,çok yağan yağmur."
Davun,"Zehir,veba.Kötü."
Dayança,"Koltuk değneği,destek."
Dazırtlatma,Hava gönderme.Yellenme.
Dayaşgan,Destek yapmak.
Debertmek,Karıştırmak.Debelemek.
Debme,Sıkıştırma.
Değermen,Değirmen.
Değme,"Dokunma, temas."
Dekmük,Tekme.
Denizlik,Pencere cam önü beton.
Depebızdık,Takla atmak.
Depmek,"Ayakla sıkıştırma,vurma."
Depreşme,Gelişme.Oynak.
Depük,"Kuru hava,ıslak olmayan."
Derbey,Lüks lastik ayakkapı.
Derleme,Toplama.
Derlen,Toplan.
Derviş,"Okumuş,hoca."
Deşme,Delik açma.Patlatma.Yırtma.
Derbey,Kaliteli lastik ayakkabı.
Deydağa,İşte orada.
Deyha,İşte burada.
Deze,Teyze.
Dırmaç,Elörgüsü iplik.
Dıtdırıbızdık,Baldırı çıplak.
Dıvılcık,Dolu Tanesi.
Dip,Ağaç altı.En son yer.
Dibek,İçinde mısır buğday dövülen oyuk taş.
Dible,"Pirinç , bulgurla yapılan lahana yemeği."
Didinmek,"Çok uğraşmak,çalışmak."
Didişme,"Tartışma,yoluşma."
Dikme,Meyve fidanı.
Dildan,Kıskaçlı böçek.
Dillendirmek,Herkesce bilinilen.Dedikodu.Yaymak.
Dilmek,"Kesme,bölmek."
Dirgen,Ot toplama tırmığı.
Ditmek,"Tırnakla kaşımak,karıştırmak."
Dişemek,"Biyeleme,keskin hale getirme."
Divit,İplik boyası.
Divildek,Çok hareketli.
Divrin,Bir ağaç türü.
Divron,Ucu V şeklinde uzun sopa.
Diyelmek,Ayakta durma.
Diyek,Ayakta dik duran
Dizme,Tahtadan oda bölmesi.
Dizlik,Uzun paçalı don.
Dobuş,Sivriliğini kaybetmiş körelmiş.
Dongurak,Büyük çan
Doh,Dikkat çekmek.
Domagöz,Bezelye haşlaması.
Donatmak,"Hazırlamak,süslemek."
Dolamak,Sarmalamak.
Dolaşmak,İpliklerin karışması.
Doruk,Ladin ağacı.
Dozik,Dangalak.Başı boş.
Dozirik,Delik fındıktan yapılan oyuncak.
Dönbek,İri yuvarlak.
Döngel,Muşmula ağacı.
Döş,Göğüs kemiği.
Döşek,Yer yatağı.
Döşlük,Kolsuz yelek.
Döşürmek,"Toplamak,hasat etmek."
Döşürücü,Dilenci.
Dulanmak,Çok sevmek.Sevinçini belirtmek.
Dundar,Üstü kapalı yer.Sakin yer.
Dutak,Kulpsuz elbezi.
Düdek,Olgunlaşmamış meyve tomurcuğu.Gonca
Düdüklük,Düdük yapılan  bir ağaç çeşiti.
Dürzü,Yaramaz insan.
Düşgün,"Fakir,fukara."
Düşük,"Erken olan,doğan."
Düşün,"Mola,ara verme."
Düve,Yaşına gelen genç inek.
"E- 
Ebegümeci",Yemeği yapılan yabani bitki.
Ebelik,Geniş yapraklı bitki.
Ebeguşağa,Gökkuşağı.
Ebrimek,"Erimek,eskimek."
Ece,"En iyisi.Ala,güzel."
Ecir,Yapığı davranışın karşılığı.Olacaklar.
Ecünnü,Cin.
Efgurma,Sürekli bağırma.
Efil,Yanma hissi.Esmek
Efsi,Ucu yanmış odun.
Efrini almak,Acıdan dolayı aklını almak.
Eğercek,Yün iplik eğirme aleti.Kirman .
Eğraltlık,Bir tür imece.
Ehel,"İyi,güzel. Usta."
Ekinci,Güneyli.Güneyde iç bölgelerde yaşayanlar.
Elçi,Evlilikte aracı olan kimse.
Elektirik,Pilli el feneri.
Elguvan,Mor renkli çiçekli ağaç.
Elleme,Dokunma.
Elikgeçi,"Geyik,yabani keçi."
Elmek,Avuç dolusu.
Ellik,Eldiven.
Elti,Kardeş eşleri gelin.
Emi,"Oldumu,tamammı."
Emmi,Amca
Emlek,"Tutam.Demet,buket."
Encamı,Toplam.Topu topu olancası.
Entari,Kadın elbisesi.
Enni,Geniş.
Enük,Köpek yavrusu.
Erikme,Şımarma.
Erinmek,"Üşenme,Çekinme."
Erzak,Kullanılan ihtiyaçlar.
Erzem,Gerekli.Lazım.
Esbap,"Elbise,Çamaşır."
Essah,Gerçek.Hakikat.
Eşkere,"Açıkca,alani yapılan."
Eşmek,Toprak kazmak.
Eşü,"Ekşi,acı."
Eşün,Ekmek çevirme aleti.
Eteklik,Etek
Eviik,Üveyik kuşu.
Evcimek,Eli ev işlerine yatkın.
Ezentere,Turşu yapılan yabani bitki.
Everme,Evlendirme.
Evcülük,Çocukların aile oyunu.
Evlek,Bir dönüm arazi.-Mantar
Evsi,Bir kısmı yanık odun parçası.
Evlürür,Yeterli.
Evza,Kibrit.
Ey,Bir seslenme biçimi.
Ey vermek,Seslenen kişiye cevap vermek.
Eyhe,Başkasına göre hava hoş.
Eylenmek,Oyalanmak.Vakit geçirmek.
Ezgün,"Çok olgun,yumuşak."
Ezme,Çiğneme.
Ezber,Akılda tutma.
Ezük,Çok olgun meyve.yumuşak.
"F- 
  
Fagaz",Bir tür armut çeşitdi.
Fanila,"İçlik,iç elbisesi."
Fanle,Kollu atlet.
Fanya,Gaz lambası çeşitti.
Farfar,Şişeden yapılan gaz lambası.
Farfara,Bir tür meşale.
Farime,Çok hafif.
Fasarak,Hafif.
Faşırtı,Ses bozukluğu.
Faşlak,"Kötü,bozuk."
Fayrap,Ucu ateşli odun parçası.
Feğelfeşkil,Paramparça.
Felfekiç,"Buruşuk,yırtık,parçalanmış."
Fellah,İçten pazarlıkcı.Sahte kurnaz.
"Fellik            Bir telaş. 
Fer","Derman,kuvvet.Hal."
Fene,"Çok,fazla."
Ferik,"Piliç,genç tavuk."
Ferimek,Hafiflemek.
Feriştah,En iyisi.Çok iyi.
Feşel,Yaramaz.
Fetir,Saçda pişen buğday ekmeği.
Feyri,Renk.Yüz rengi.
Fıraktı,Çubuklardan örülmüş çit.
Fırfıkıç,ağzına kadar dolu.Sıkışık.
Fırıç,Pişirilmiş meyve.
Fırındarısı,Fırında kurutulan mısır.
Fırtana,Fırtına.Yağmur.
Fışırtmak,Fırlatıp atmak.
Fışkı,Dışkı.
Fıydırma.,Kaldırıp atma.
Fiğ,Yemek yapılan bir bitki.
Firavun,"Art niyetli,fenalı düşünen kişi."
Fiske,Yavaşca.
Fittik,"Ağaç kabuğu,düdük."
Fodul,İtiraz eden.
Fol,Follukta tek olan yumurta.
Follamak,Kabuğundan ayıklamak.
Folluk,Tavuğun yumurtladığı yer.
Foltak,"Bolca,geniş"
Foni,Kapba su doldurmaya yarayan gereç.
Fosaldak,Suyu çekilmiş.Susuz.
Förtlek,Dışarı fırlamış nesne.
Förtleme,Kaynama.
Förtletmek,Ateşte kaynatmak.
Fösük,Dişsiz.Dişleri sökülmüş.
Fuzuli,Boşu boşuna.Gereksiz.
"G- 
Gaale",Dikkat.Dikkate alma.
Gabalak,Yabani bir bitki.
Gaban,"Yamaç,bayır.Yamaç."
Gabzımal,Manav.Sebze meyve satıcıcı.
Gaccuk,Kadar.
Gacır,Fındığın yaş kabuğu.
Gacırgucur,"Sürekli ses yapan,gürültü."
Gadaklı,Dertli.Sorunu olan.
Gadimi,"Sürekli,ikide bir."
Gaflet,Dalgınlık.Yanılgı.Durgunluk.
Gagiliç,"Biçimsiz,şekilsiz."
Gagit,Kuru.Dölsüz.
Gagmuk,Parmakları  bükmek.
Galemlik,Baca.
Galabalık,"Kalabalık,çokluk."
Galdirik,Yemek yapılan yabani bitki.
Galeze,Angarya yapılan iş.
Galp,Zamanı dolmuş.Geçersiz.
Gamalik,"İşe yaramaz,uyuşuk."
Gambak,Kel.düz.
Gambazlama,Başkasına söyleme.Kandırma.
Ganayaklı,"Mazlum,sessiz,uslu.Sakin.Uysal."
Gancık,Dişi köpek.
Ganayak,"Uslu,sakin,olgun,gariban."
Gandak,Eğrelti dikiş.Tutturma.Ekleme.
Gapcuk,"Yara kabuğu,üst kabuk"
Gapı,Evin ön kısmı.Kapı.
Gararbazar,Yaklaşık olarak.Göz kararı.Aşağı yukarı.
Garalastik,Lastik ayakkabı.
Garamuk,İçi çürük fındık.
Garavu,Ormangülü.Pembe çiçekli.
Garçaşturma.,Tarıştırma.Tahrik etmek.
Garduf,Patetes.
Garegen,Yabani diken.
Garer,Karar.Tam kıvamı.
Gargara,Karıştırma.
Gartoloz,Yaşlı.
Gartopu,Patetes.Gartobak.
Gartobak,Patetes.Yerelması.
Garsamba,Fazla olan eşya.
Gasavet,Dert.Sıkıntı.
Gasla,Yalan.
Gasmak,"Germek,sıkıştırmak."
Gasmuk,Çam kabuğu altı zarı.Kabuk.
Gasmuklu,Çok pis.Kirden kabuk bağlama
Gatık,Ayran.Aparetif yemek.
Gasıttan,"Kasıtlı olarak,mahsus."
Gavsuk,Fındığın dışındaki yeşil kabuk.Çotanak.
Gavsun,Fındık çotanağı.
Gavun,Bir armut çeşidi.
Gavunç,Sıkma.Eneme.Hadım.
Gavut,Kuru ahlat unu.
Gaybana,İşe yaramaz.Hayrı olmayan.
"Gaybet                   Arkadan konuşma. 
Gayde","Türkü,nağme."
Gaydelenmek,Kendi kendine türkü söylemek.
Gaymak,Çok güzel.
Gaymam,Benim güzelim.
Gaza,Kaza.Yaralanma.
Gazel,Kuru yapraklar.
Gazelen,İstemeden olan kaza.
Gebic,Kenarı düzgün olmayan.
Gebiçci,Değirmenci.
Gecin,Ayıklanmış fasulye kabuğu.
Geçek,"Merdiven,iskele."
Geçi,Fena şey.İnatcı insan.
Gedük,Çok oyuk yer.
Gegecen,Bir çeşit orak.
"Gelberi Tırmık.                                             
Gelek",Yaprak.
Gelgeç,"Merdiven,iskele."
Gelincik,Küçük yabani hayvan.
Gelinçi,Düğün alayı.
Gelişin,"Gelince,geldiğin zaman."
Gemük,Kemik
Gergen,Dikenli sarmaşık.
Gerce,Sarmaşık.
Gertik,Çetene.Yiv.
Gevmek,Ağızda çiğnemek.
Gerevü,Ucu çatallı dalları çekme sırığı.
Gerzek,Geri zekalı.
Gevük,Kuru odun parçası.
Gı,Kız anlamında.
Gıbrağa,Kurbağa.
"Gıcık             Sinir bozucu. 
Gıcır",Yeni.
Gıcırgıcır,Yepyeni.
Gıcırık,Dönen ağaç oyunu.
Gıçatmak,Hayvan tekmesi.
Gıdık,Küçük kuplu sepet.
Gılla,Sıradan.Dümdüz.Çok yoğun.
Gıllak,Yağlı parlak.Kaygan.
Gımbıl,Oynak
Gınak,Bıkmak.usanmak.
Gınnap,İp.
Gılık,"Kıyafet,görünüm."
Gılkuyruk,İnce uzun.Mızmız.
Gıpcık,Meyve sapı.
Gıpta,Kıskançlık
Gırağı,Donmuş sabah çiğsesi.
Gıran,Tepelik arazi yerler.
Gırdap,Düğüm.Dönen kıvrılan su.
Gırkmak,Traş etmek.
Gırklık,Koyun yün kırkma aleti.
Gıksı,Kıskaç.
Gısmak,"Sıkma,çimdikleme."
Gışmık,Hayvan tekmesi.Çiftte.
Gıt,"Az olan,                                   ."
Gıtlık,"Yoksukluk,alcık."
Gıvırzıvır,Öteberi.Küçük eşyalar.
Gıynak,Tekleme fındık çotanağı.
Gıymık,Küçük ağaç parçası.
Gibcak,Ağaç budağı.
Gidişme,Kaşınma.
Gilik,Yuvarlak küçük ekmek.
Girebi,Dal kesen küçük balta.
Girinti,Tırpan.
Girişme,Başlama.
Gobca,Düğme.
Godura,Oyunda küçük düz taşlar.
Gofil,Fıcı.
Gofti,Haylaz.İşe yaramaz.
Gogil,Saç örgüsü.Ensede toplanan saç topuzu.
Goğuk,Delik.Ağaç kovuğu.
Goğuz,"Aralık,hafiften açık."
Gohnik,Yaşlı kimse.Moruk.
Gol,"Kol,raf."
Golan,Odun taşıken sırta sarılan ip.Semer.
Golit,Taş fırında pişen ekmek.
Gomit,Balık çeşiti.
Gonak,Süslü büyük ev.
Gonuk,Bir yere konmuş.
Goruk,İçi boş fındık.
Gopuk,Bağlantısı olmayan
Goşmak,Avuç içi.Yanına ekleme.
Goşama,"Avuçlama,avuç ölçüsü."
Got,"Külek,ölçü kovası."
Gotkafa,"Büyük,kalın kafa.Salak."
Gotmak,Kısa küçük ağaç kütük.
Govuk,"Çukur,mağara."
Goya,"Sanki,yani,güya."
Gozak,"Olgunlaşmamış,ham meyve."
Gozalak,Çam ağacı kozalağı.
Göbel,Köpek yavrusu.
Göbelek,"Şişman,yuvarlak."
Göçük,İçeri batmış.Uçurum.
Göden,Su kurbağası.
Göfterek,Avare.Haylaz.
Göğ,Yeşil.Olgunlaşmamış
Göğnümek,Meyvenin yumuşaması.
Göğnük,"Yanık,ateşli kül."
Göğsükızıl,Bir kuş çeşiti.
Gölük,Yük hayvanı.Katır.Hayvan sürüsü.
Göreslenmek,Birini göresi gelmek.Hasret.Özlem
Görpe,"Taze,yeni."
Gön,Hayvan derisi.
Göscek,Gözlük.
Göze,Suyun topraktan ilk çıktığı yer.
Gukguk,Gugukuşu.
Gumbul,Sepet.
Guruş taşı,Ocak başı raf çıkıntısı.
Guşak,Belle bağlanan giysi
Guşluk,Sabah vakti.
Guvak,Başta bulunan kepek
Guytak,Çukur yer.Kuyu
Gübür,Toz birikintisi.Toz kırıntısı.
Güçenme,Alınganlık gösterme.Alınmak.
Gücük,"Küçük,ufak."
Gücük ayı,Şubat ayı.
Gücüktene,Yaylada çayır bitkisi.
Güdine,Mısır koçanı odunsu kısım.
Güçük ayı,Şubat ayı.
Güfe,"Ağacdan yapılan kap,fıcı."
Güfine,Hayvan yalı konan ağaç kap
Gügüm,Bakır su kabı.Büyük ibrik.
Güllük,Eğrelti otu.
Gümbül,Birden yuvarlanma.
Gündarısı,Güneşte kurutulan mısır.
Gündelik,Yevmiye.
Gündelikci,Yevmiyeli işçi.
Günni,"Evden uzak bahçe,orman."
Gürgen,Kayın ağacı.
Güsgün,Dargın.
Güveği,Damat.
Güvenek,İnekleri ısıran büyük sinek
Güveç,Ağaçtan yapılan kap.
Güverme,Yeşerme.Üstü yeşillenme.
Güzine,"Yemek,ekmek pişirilen fırınlı soba."
Güzlek,Yayla dönüşü sahil.
Güzlük,Yayla dönüşü hayvan beslenen yer.
Güzün,Sonbahar.
"H- 
Haarda",Nerede.
Hau,İşte bu.
Haura,İşte şurası.
Haböle,Böyle.
Habu,Bu.
Habura,Burası.
Hacat,İhtiyaç
Haccak,Güzel
Haçan,"Madem,öyle ise."
Haçan ki,Ne zaman ki.
Hadi,Başlama.Başlangıç.
Halatım,"Kadar,bu ana gelene dek."
Halefet,"Sohbet,muhabbet."
Halik,Küçük çakıl taşları.Küçük taşlar.
Halpıtmak,"Yiyecek,yoğurt yemek."
Haltuk,Hayvan bağlama ipi.Tasma.
Hamamlık,Banyo odası.
Hambar,Kiler.
Hametmek,"Yemek yeme,lokma yutma."
Hampal,Biraz zor.
Hamtevek,Yabani sarılan uzun bitki.
Hanum,Kadın.
Happak,Sade yoğurt.
Haptirik,Delidolu.
Harar,Çubuktan yapılan büyük örme sepet.
Harhar,Yoğun çalışma.
Harez,Boş arazi.
Harın,Dayanaksız.
Harız,Terkedilen boş tarla.
Hark,Su kanalı.
Hartama,Çatıya kaplanan ince tahta.
Has,"İpek,parlak kumaş.Ona özgü.Yakıştı."
Hasbağal,Dostluk kurma.
